"State","County","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
"Florida","BROWARD","PARK SUMMIT AT CORAL SPRINGS","ALF","6/12/2020","0","1","1"
"Florida","BROWARD","PLANTATION NURSING & REHABILITATION CENTER","NH","6/13/2020","0","1","1"
"Florida","BROWARD","POMPANO HEALTH AND REHABILITATION CENTER","NH","6/13/2020","3","11","3"
"Florida","BROWARD","PRESIDENTIAL PLACE","ALF","6/11/2020","0","6","4"
"Florida","BROWARD","REGENTS PARK OF SUNRISE","NH","6/13/2020","0","2","1"
"Florida","BROWARD","ROYAL PALM SENIOR RESIDENCE","ALF","6/13/2020","1","0","0"
"Florida","BROWARD","SAEJCA'S CASTLE LLC","ALF","6/13/2020","0","5","0"
"Florida","BROWARD","SEAVIEW NURSING AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","BROWARD","SOLARIS HEALTHCARE COCONUT CREEK","NH","6/13/2020","0","1","5"
"Florida","BROWARD","SPRINGTREE REHABILITATION & HEALTH CARE CENTER","NH","6/13/2020","0","0","4"
"Florida","BROWARD","ST JOSEPH RESIDENCE, INC.","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","ST. JOHN'S NURSING CENTER","NH","6/13/2020","4","2","3"
"Florida","BROWARD","SUNRISE HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","4"
"Florida","BROWARD","TAMARAC REHABILITATION AND HEALTH CENTER, INC.","NH","6/13/2020","2","2","6"
"Florida","BROWARD","THE COURT AT PALM AIRE","ALF","6/12/2020","2","1","1"
"Florida","BROWARD","THE FORUM AT DEER CREEK","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","THE MERIDIAN AT WATERWAYS","ALF","6/13/2020","0","0","2"
"Florida","BROWARD","THE PRESERVE AT PALM AIRE","ALF","6/13/2020","0","1","3"
"Florida","BROWARD","THE SHERIDAN AT COOPER CITY","ALF","6/13/2020","0","1","1"
"Florida","BROWARD","TREEMONT ON THE PARK","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","VILLA RIO VISTA","ALF","6/13/2020","0","1","0"
"Florida","BROWARD","VIZCAYA BY THE SEA","ALF","6/13/2020","0","0","1"
"Florida","BROWARD","WEST BROWARD REHABILITATION AND HEALTHCARE","NH","6/13/2020","0","0","8"
"Florida","BROWARD","WESTCHESTER OF SUNRISE","ALF","6/13/2020","1","0","2"
"Florida","BROWARD","WILTON MANORS HEALTH & REHABILITATION CENTER","NH","6/13/2020","7","0","7"
"Florida","CALHOUN","BLOUNTSTOWN HEALTH AND REHABILITATION CENTER","NH","6/13/2020","31","7","16"
"Florida","CALHOUN","RIVER VALLEY REHABILITATION CENTER","NH","6/13/2020","0","1","2"
"Florida","CHARLOTTE","DOUGLAS JACOBSON STATE VETERANS NURSING HOME","NH","6/13/2020","0","0","2"
"Florida","CHARLOTTE","HARBOUR HEALTH ASSISTED LIVING","ALF","6/13/2020","0","16","0"
"Florida","CHARLOTTE","HARBOUR HEALTH CENTER","NH","6/12/2020","1","7","5"
"Florida","CHARLOTTE","LIFE CARE CENTER OF PUNTA GORDA","NH","6/13/2020","2","3","1"
"Florida","CHARLOTTE","PORT CHARLOTTE REHABILITATION CENTER","NH","6/13/2020","20","1","0"
"Florida","CHARLOTTE","ROYAL PALM RETIREMENT CENTRE","ALF","6/13/2020","0","0","1"
"Florida","CHARLOTTE","SIGNATURE HEALTHCARE OF PORT CHARLOTTE","NH","6/12/2020","11","2","12"
"Florida","CHARLOTTE","SOLARIS HEALTHCARE CHARLOTTE HARBOR","NH","6/13/2020","20","3","15"
"Florida","CHARLOTTE","VICK STREET MANOR","ALF","6/13/2020","3","3","8"
"Florida","CHARLOTTE","VILLAGE PLACE HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","1","0"
"Florida","CHARLOTTE","VILLAGE PLACE RETIREMENT","ALF","6/13/2020","2","8","0"
"Florida","CITRUS","ARBOR TRAIL REHAB AND SKILLED NURSING CENTER","NH","6/13/2020","3","0","0"
"Florida","CITRUS","FLORIDA MENTOR","ICF","6/13/2020","0","0","2"
"Florida","CITRUS","SUNFLOWER SPRINGS LLC","ALF","6/12/2020","0","1","0"
"Florida","CITRUS","SUPERIOR RESIDENCES OF LECANTO","ALF","6/13/2020","1","1","0"
"Florida","CLAY","DIAMOND ALF, LLC","ALF","6/12/2020","0","3","0"
"Florida","CLAY","GOVERNORS CREEK HEALTH AND REHABILITATION","NH","6/13/2020","0","35","6"
"Florida","CLAY","HEARTLAND HEALTH CARE CENTER - ORANGE PARK","NH","6/13/2020","8","0","0"
"Florida","CLAY","ISLE HEALTH & REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","CLAY","LIFE CARE CENTER AT WELLS CROSSING","NH","6/13/2020","0","2","1"
"Florida","CLAY","SIGNATURE HEALTHCARE OF ORANGE PARK","NH","6/13/2020","0","0","2"
"Florida","COLLIER","ALL SEASONS IN NAPLES LLC","ALF","6/13/2020","0","4","10"
"Florida","COLLIER","ARBOR GLEN AT ARBOR TRACE","ALF","6/13/2020","0","0","2"
"Florida","COLLIER","ARDEN COURTS OF LELY PALMS","ALF","6/13/2020","0","0","1"
"Florida","COLLIER","BEACH HOUSE NAPLES ASSISTED LIVING & MEMORY CARE","ALF","6/13/2020","0","0","1"
"Florida","COLLIER","BENTLEY CARE CENTER","NH","6/12/2020","0","6","14"
"Florida","COLLIER","BENTLEY VILLAGE","ALF","6/13/2020","0","0","6"
"Florida","COLLIER","CARLISLE NAPLES","ALF","6/13/2020","1","0","0"
"Florida","COLLIER","DISCOVERY VILLAGE AT NAPLES","ALF","6/12/2020","0","0","2"
"Florida","COLLIER","HARBORCHASE OF NAPLES","NH","6/13/2020","0","0","1"
"Florida","COLLIER","HERITAGE HEALTHCARE AND REHABILITATION CENTER","NH","6/12/2020","15","30","3"
"Florida","COLLIER","KEYSTONE PLACE AT NAPLES PRESERVE","ALF","6/13/2020","0","1","1"
"Florida","COLLIER","LAKESIDE PAVILION","NH","6/13/2020","0","1","3"
"Florida","COLLIER","MANORCARE AT LELY PALMS","NH","6/13/2020","2","8","9"
"Florida","COLLIER","MANORCARE NURSING AND REHABILITATION CENTER","NH","6/13/2020","6","0","22"
"Florida","COLLIER","ORCHID TERRACE","ALF","6/13/2020","0","0","2"
"Florida","COLLIER","SOLARIS HEALTHCARE IMPERIAL","NH","6/13/2020","0","0","2"
"Florida","COLLIER","SOLARIS SENIOR LIVING NORTH NAPLES","NH","6/13/2020","0","0","3"
"Florida","COLLIER","TERRACINA GRAND","ALF","6/13/2020","1","1","3"
"Florida","COLUMBIA","CANOPY AT HARPER LAKE (THE)","ALF","6/13/2020","0","0","1"
"Florida","COLUMBIA","PLANTATION ON SUMMERS LLC (THE)","ALF","6/12/2020","0","1","1"
"Florida","COLUMBIA","ROBERT H JENKINS JR VETERANS DOMICILIARY HOME OF FLORIDA","ALF","6/13/2020","0","0","2"
"Florida","COLUMBIA","SOLARIS HEALTHCARE LAKE CITY","NH","6/13/2020","2","0","1"
"Florida","DESOTO","ARCADIA OAKS ASSISTED LIVING","ALF","6/12/2020","0","1","1"
"Florida","DESOTO","DESOTO HEALTH AND REHAB","NH","6/12/2020","0","0","1"
"Florida","DIXIE","CROSS CITY NURSING AND REHABILITATION CENTER","NH","6/13/2020","0","0","3"
"Florida","DUVAL","BARTRAM CROSSING","NH","6/13/2020","0","1","13"
"Florida","DUVAL","BARTRAM LAKES ASSISTED LIVING","ALF","6/13/2020","0","2","1"
"Florida","DUVAL","BROOKDALE SOUTHSIDE","ALF","6/13/2020","1","0","0"
"Florida","DUVAL","CAMELLIA AT DEERWOOD","ALF","6/12/2020","0","1","12"
"Florida","DUVAL","CATHEDRAL GERONTOLOGY CENTER, INC","NH","6/13/2020","0","1","0"
"Florida","DUVAL","DOLPHIN POINTE HEALTH CARE CENTER","NH","6/13/2020","48","19","0"
"Florida","DUVAL","FANNIE E. TAYLOR HOME FOR THE AGED-TAYLOR MANOR, INC.","ALF","6/13/2020","0","0","1"
"Florida","DUVAL","FIRST COAST HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","DUVAL","FLEET LANDING","NH","6/13/2020","1","0","3"
"Florida","DUVAL","FLORIDA MENTOR","ICF","6/12/2020","3","1","9"
"Florida","DUVAL","GOLDEN RETREAT SHELTER CARE CENTER, INC.","ALF","6/13/2020","0","0","1"
"Florida","DUVAL","HARBORCHASE OF MANDARIN","ALF","6/12/2020","0","0","1"
"Florida","DUVAL","HARTS HARBOR HEALTH CARE CENTER","NH","6/12/2020","0","5","5"
"Florida","DUVAL","HEALTHCARE CENTER OF JACKSONVILLE","NH","6/13/2020","0","0","5"
"Florida","DUVAL","JACKSONVILLE NURSING AND REHAB CENTER","NH","6/12/2020","6","1","4"
"Florida","DUVAL","LANIER REHABILITATION CENTER","NH","6/13/2020","0","2","4"
"Florida","DUVAL","NOBLE GARDENS OF JACKSONVILLE, LLC","ALF","6/12/2020","0","1","0"
"Florida","DUVAL","RIVERWOOD CENTER","NH","6/13/2020","0","0","2"
"Florida","DUVAL","SAN JOSE HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","DUVAL","SIGNATURE HEALTHCARE OF JACKSONVILLE","NH","6/13/2020","30","34","25"
"Florida","DUVAL","ST CATHERINE LABOURE MANOR INC","NH","6/13/2020","1","0","0"
"Florida","DUVAL","UNIVERSITY CROSSING","NH","6/13/2020","0","1","6"
"Florida","DUVAL","WOODLAND GROVE HEALTH & REHABILITATION CENTER","NH","6/13/2020","0","0","2"
"Florida","ESCAMBIA","ASBURY PLACE","ALF","6/9/2020","0","0","1"
"Florida","ESCAMBIA","BAYSIDE HEALTH AND REHABILITATION CENTER","NH","6/13/2020","14","0","1"
"Florida","ESCAMBIA","BROOKDALE PENSACOLA","ALF","6/12/2020","0","0","1"
"Florida","ESCAMBIA","CENTURY CENTER FOR REHABILITATION AND HEALING","NH","6/13/2020","0","0","1"
"Florida","ESCAMBIA","DE LUNA HEALTH AND REHABILITATION CENTER","NH","6/13/2020","6","0","0"
"Florida","ESCAMBIA","HAVEN OF OUR LADY OF PEACE","NH","6/13/2020","0","0","1"
"Florida","ESCAMBIA","HOMESTEAD VILLAGE RETIREMENT COMMUNITY","ALF","6/13/2020","0","1","0"
"Florida","ESCAMBIA","NEW HORIZONS OF NORTHWEST FLORIDA, INC.","ICF","6/9/2020","1","0","3"
"Florida","ESCAMBIA","OLIVE BRANCH HEALTH AND REHABILITATION CENTER","NH","6/12/2020","0","1","0"
"Florida","ESCAMBIA","PENSACOLA DEVELOPMENTAL CENTER","ICF","6/13/2020","0","0","4"
"Florida","ESCAMBIA","ROSEWOOD HEALTHCARE AND REHABILITATION CENTER","NH","6/13/2020","3","0","1"
"Florida","ESCAMBIA","SOUTHERN OAKS CARE CENTER","NH","6/13/2020","0","4","1"
"Florida","ESCAMBIA","SUMMER VISTA ASSISTED LIVING COMMUNITY","ALF","6/12/2020","0","1","0"
"Florida","ESCAMBIA","VERANDA OF PENSACOLA, INC","ALF","6/13/2020","0","0","1"
"Florida","ESCAMBIA","WILLOWBROOKE COURT AT AZALEA TRACE","NH","6/13/2020","7","1","5"
"Florida","FLAGLER","GRAND OAKS HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","GADSDEN","RIVERCHASE HEALTH AND REHABILITATION CENTER","NH","6/13/2020","9","4","3"
"Florida","HARDEE","HARDEE MANOR HEALTHCARE CENTER","NH","6/13/2020","0","3","2"
"Florida","HARDEE","SANDIA","ALF","6/12/2020","0","1","0"
"Florida","HENDRY","CLEWISTON NURSING & REHABILITATION","NH","6/13/2020","15","21","24"
"Florida","HENDRY","OAKBROOK HEALTH AND REHABILITATION CENTER","NH","6/13/2020","3","0","0"
"Florida","HERNANDO","EVERGREEN WOODS","NH","6/13/2020","0","0","1"
"Florida","HERNANDO","RESIDENCE AT TIMBER PINES (THE)","ALF","6/13/2020","0","1","1"
"Florida","HILLSBOROUGH","ALDEA GREEN","ALF","6/13/2020","1","0","0"
"Florida","HILLSBOROUGH","ALLEGRO","ALF","6/12/2020","0","0","3"
"Florida","HILLSBOROUGH","ALLEGRO","ALF","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","ANGELS SENIOR LIVING AT NEW TAMPA, LLC","ALF","6/13/2020","0","8","0"
"Florida","HILLSBOROUGH","ANGELS SENIOR LIVING AT SOUTH TAMPA","ALF","6/13/2020","0","1","0"
"Florida","HILLSBOROUGH","BEST CARE SENIOR LIVING AT SAINT JOSEPH","ALF","6/11/2020","3","3","3"
"Florida","HILLSBOROUGH","BRANDON HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","BRIGHTON GARDENS OF TAMPA","ALF","6/13/2020","9","0","2"
"Florida","HILLSBOROUGH","BRIGHTON GARDENS OF TAMPA","NH","6/13/2020","1","0","0"
"Florida","HILLSBOROUGH","BRISTOL AT TAMPA REHABILITATION AND NURSING CENTER LLC, THE","NH","6/13/2020","0","57","38"
"Florida","HILLSBOROUGH","BROOKDALE BAYSHORE","ALF","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","CENTRAL TAMPA ASSISTED LIVING","ALF","6/12/2020","0","42","6"
"Florida","HILLSBOROUGH","COMMUNITY CONVALESCENT CENTER","NH","6/13/2020","6","86","24"
"Florida","HILLSBOROUGH","CONCORDIA VILLAGE OF TAMPA","NH","6/11/2020","0","0","2"
"Florida","HILLSBOROUGH","CONSULATE HEALTH CARE OF BRANDON","NH","6/13/2020","13","24","18"
"Florida","HILLSBOROUGH","COVENTRY ASSISTED LIVING","ALF","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","DISCOVERY VILLAGE AT TAMPA PALMS","ALF","6/12/2020","0","0","1"
"Florida","HILLSBOROUGH","EXCEL CARE CENTER","NH","6/13/2020","0","1","1"
"Florida","HILLSBOROUGH","GRACE MANOR AT HUNTERS CREEK LLC","ALF","6/13/2020","3","0","1"
"Florida","HILLSBOROUGH","HANNA OAKS CENTER for INDEPENDENT and ASSISTED LIVING","ALF","6/13/2020","0","15","5"
"Florida","HILLSBOROUGH","HAWTHORNE HEALTH AND REHAB OF BRANDON","NH","6/13/2020","6","6","1"
"Florida","HILLSBOROUGH","HILLSBOROUGH COUNTY DEVELOPMENTAL CENTER","ICF","6/12/2020","0","0","3"
"Florida","HILLSBOROUGH","INN ASTON AT GARDENS TAMPA BAY (THE)","ALF","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","INSPIRED LIVING AT TAMPA","ALF","6/12/2020","0","2","0"
"Florida","HILLSBOROUGH","LIFE CONCEPTS, INC","ICF","6/12/2020","0","0","3"
"Florida","HILLSBOROUGH","LIVING WELL COMMUNITY LLC","ALF","6/10/2020","0","1","0"
"Florida","HILLSBOROUGH","MEMORY LANE COTTAGE AT TAMPA PALMS, LLC","ALF","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","NORTHDALE REHABILITATION CENTER","NH","6/13/2020","0","0","2"
"Florida","HILLSBOROUGH","PALM GARDEN OF TAMPA","NH","6/13/2020","0","2","1"
"Florida","HILLSBOROUGH","PLAZA WEST HEALTH CENTER","NH","6/11/2020","0","0","2"
"Florida","HILLSBOROUGH","PROMISE POINTE AT TAMPA OAKS","ALF","6/13/2020","0","3","0"
"Florida","HILLSBOROUGH","REHABILITATION AND HEALTHCARE CENTER OF TAMPA","NH","6/13/2020","0","11","4"
"Florida","HILLSBOROUGH","ROCKY CREEK VILLAGE","ALF","6/13/2020","3","0","1"
"Florida","HILLSBOROUGH","SOLARIS HEALTHCARE PLANT CITY","NH","6/13/2020","1","1","1"
"Florida","HILLSBOROUGH","SUN CITY SENIOR LIVING","ALF","6/13/2020","1","0","0"
"Florida","HILLSBOROUGH","SUN TERRACE HEALTH CARE CENTER","NH","6/12/2020","0","2","1"
"Florida","HILLSBOROUGH","SUN TOWERS RETIREMENT COMMUNITY","ALF","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","TAMPA LAKES HEALTH AND REHABILITATION CENTER","NH","6/13/2020","0","0","1"
"Florida","HILLSBOROUGH","THE COLONNADE AT NORTHDALE","ALF","6/12/2020","0","10","2"
"Florida","HILLSBOROUGH","THE INN AT UNIVERSITY VILLAGE","ALF","6/13/2020","44","0","0"
"Florida","HILLSBOROUGH","WHISPERING OAKS","NH","6/13/2020","0","4","7"
"Florida","HILLSBOROUGH","WOODBRIDGE CARE CENTER","NH","6/13/2020","0","0","2"
"Florida","INDIAN RIVER","CONSULATE HEALTH CARE OF VERO BEACH","NH","6/13/2020","0","0","1"
"Florida","INDIAN RIVER","GRACE REHABILITATION CENTER OF VERO BEACH","NH","6/13/2020","0","1","0"
"Florida","INDIAN RIVER","GREEN GABLES ASSISTED LIVING","ALF","6/11/2020","0","1","1"
"Florida","INDIAN RIVER","HARBORCHASE OF VERO BEACH","ALF","6/13/2020","3","6","2"
"Florida","INDIAN RIVER","ISLES OF VERO BEACH","ALF","6/13/2020","1","0","0"
"Florida","INDIAN RIVER","RENAISSANCE SENIOR LIVING","ALF","6/13/2020","0","0","1"
"Florida","INDIAN RIVER","ROSEWOOD MANOR OF VERO BEACH, LLC","ALF","6/12/2020","2","0","1"
"Florida","INDIAN RIVER","SOLARIS SENIOR LIVING VERO BEACH","ALF","6/13/2020","0","0","2"
"Florida","INDIAN RIVER","SONATA VERO BEACH","ALF","6/13/2020","0","0","4"
"Florida","JACKSON","SIGNATURE HEALTHCARE AT THE COURTYARD","NH","6/13/2020","0","0","2"
"Florida","JACKSON","SUNLAND CENTER MARIANNA-FAC I","ICF","6/13/2020","3","0","1"
"Florida","JACKSON","SUNLAND CENTER MARIANNA-FACILITY II","ICF","6/13/2020","1","0","1"
"Florida","JACKSON","SUNLAND CENTER MARIANNA-FACILITY III","ICF","6/13/2020","13","0","7"
"Florida","JACKSON","SUNLAND MARIANNA FACILITY V","ICF","6/11/2020","0","0","2"
"Florida","LAKE","AdVENTHEALTH CARE CENTER WATERMAN","NH","6/13/2020","0","0","1"
"Florida","LAKE","AVANTE AT MT DORA, INC.","NH","6/13/2020","0","0","1"
"Florida","LAKE","NEULIFE NEUROLOGICAL SERVICES, LLC","ALF","6/13/2020","0","0","2"
"Florida","LAKE","THE COVE AT TAVARES VILLAGE","ALF","6/13/2020","0","1","0"
"Florida","LAKE","VISTA LAKE","ALF","6/12/2020","1","1","0"
"Florida","LEE","AMAVIDA SENIOR LIVING","ALF","6/13/2020","0","0","3"
"Florida","LEE","AMERICAN HOUSE BONITA SPRINGS","ALF","6/13/2020","0","0","1"
"Florida","LEE","AMERICAN HOUSE FORT MYERS","ALF","6/13/2020","0","0","5"
"Florida","LEE","ARBOR AT SHELL POINT (THE)","ALF","6/12/2020","0","1","0"
"Florida","LEE","ATRIUM AT LIBERTY PARK","ALF","6/13/2020","0","0","1"
"Florida","LEE","BARKLEY PLACE","ALF","6/13/2020","0","1","0"
"Florida","LEE","BROOKDALE BONITA SPRINGS","ALF","6/13/2020","0","1","0"
"Florida","LEE","BROOKDALE FORT MYERS THE COLONY","ALF","6/12/2020","0","11","0"
"Florida","LEE","CALUSA HARBOUR","NH","6/13/2020","5","0","4"
"Florida","LEE","CAPE WEST LLC","ALF","6/12/2020","0","5","1"
"Florida","LEE","CONSULATE HEALTH CARE OF NORTH FORT MYERS","NH","6/13/2020","0","0","5"
"Florida","LEE","CORAL TRACE HEALTH CARE","NH","6/13/2020","0","0","1"
"Florida","LEE","CYPRESS COVE AT HEALTHPARK FLORIDA","ALF","6/13/2020","0","0","3"
"Florida","LEE","CYPRESS POINT","ALF","6/13/2020","0","8","1"
"Florida","LEE","DISCOVERY VILLAGE AT THE FORUM","ALF","6/13/2020","0","1","3"
"Florida","LEE","EVANS HEALTH CARE","NH","6/13/2020","2","2","2"
"Florida","LEE","FORT MYERS REHABILITATION AND NURSING CENTER","NH","6/10/2020","15","12","3"
"Florida","LEE","GLADWELL FORT MYERS","ALF","6/12/2020","2","5","5"
"Florida","LEE","GULF COAST VILLAGE","NH","6/13/2020","0","0","1"
"Florida","LEE","HEALTHPARK CARE CENTER","NH","6/13/2020","0","16","14"
"Florida","LEE","HEARTLAND HEALTH CARE CENTER-FT MYERS","NH","6/13/2020","18","8","18"
"Florida","LEE","HERITAGE PARK REHABILITATION AND HEALTHCARE","NH","6/13/2020","0","4","5"
"Florida","LEE","LEHIGH ACRES HEALTH AND REHABILITATION CENTER","NH","6/13/2020","8","6","9"
"Florida","LEE","LIFE CARE CENTER OF ESTERO","NH","6/12/2020","0","6","0"
"Florida","LEE","LODGE AT CYPRESS COVE, THE","NH","6/13/2020","0","1","4"
"Florida","LEE","MANORCARE HEALTH SERVICES","NH","6/13/2020","0","9","9"
"Florida","LEE","PACIFICA SENIOR LIVING FORT MYERS","ALF","6/12/2020","3","8","3"
"Florida","LEE","PAGE REHABILITATION AND HEALTHCARE CENTER","NH","6/13/2020","41","38","52"
"Florida","LEE","PALMS OF FORT MYERS","ALF","6/12/2020","0","1","0"
"Florida","LEE","PALMVIEW AT GULF COAST VILLAGE","ALF","6/13/2020","0","0","2"
"Florida","LEE","PONDELLA RESIDENTIAL CARE LLC","ALF","6/13/2020","0","0","2"
"Florida","LEE","REHAB & HEALTHCARE CENTER OF CAPE CORAL","NH","6/13/2020","0","2","6"
"Florida","LEE","RENAISSANCE AT THE TERRACES","ALF","6/13/2020","0","0","1"
"Florida","LEE","SIGNATURE HEALTHCARE AT COLLEGE PARK","NH","6/13/2020","0","1","5"
"Florida","LEE","SPRINGWOOD COURT","ALF","6/12/2020","0","4","0"
"Florida","LEE","SUNRISE COMMUNITY, INC.","ICF","6/13/2020","0","1","1"
