"X","County","State","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
NA,"Bay","Florida","FLORIDA MENTOR","ICF","9/8/2020",0,1,0
NA,"Bay","Florida","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","NH","9/8/2020",0,9,5
NA,"Bay","Florida","CREATIVE LIVING CENTERS, INC","ALF","9/8/2020",0,0,1
NA,"Bay","Florida","EMERALD SHORES HEALTH AND REHABILITATION","NH","9/8/2020",13,2,15
NA,"Bay","Florida","SUPERIOR RESIDENCES OF PANAMA CITY BEACH","ALF","9/8/2020",0,1,1
NA,"Bay","Florida","MATHISON RETIREMENT COMMUNITY INC","ALF","9/8/2020",0,0,2
NA,"Bay","Florida","PRUITTHEALTH - PANAMA CITY","NH","9/8/2020",0,0,2
NA,"Bay","Florida","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION CENTER","NH","9/7/2020",0,13,0
NA,"Bradford","Florida","BESSENT ROAD GROUP HOME","ICF","9/8/2020",0,0,1
NA,"Bradford","Florida","RIVERWOOD HEALTH & REHABILITATION CENTER","NH","9/8/2020",2,3,4
NA,"Bradford","Florida","WINDSOR HEALTH AND REHABILITATION CENTER","NH","9/8/2020",1,2,1
NA,"Brevard","Florida","ATLANTIC SHORES NURSING AND REHAB CENTER","NH","9/8/2020",0,0,1
NA,"Brevard","Florida","ANCHOR CARE AND REHABILITATION CENTER","NH","9/8/2020",2,0,3
NA,"Brevard","Florida","BROOKDALE WEST MELBOURNE","ALF","9/7/2020",0,0,1
NA,"Brevard","Florida","AVANTE AT MELBOURNE INC","NH","9/8/2020",18,1,2
NA,"Brevard","Florida","BETHESDA ON TURKEY CREEK","ALF","9/7/2020",0,11,5
NA,"Brevard","Florida","BROOKDALE MELBOURNE","ALF","9/8/2020",0,8,0
NA,"Brevard","Florida","CONSULATE HEALTH CARE OF MELBOURNE","NH","9/8/2020",0,16,0
NA,"Brevard","Florida","FOUNTAINS OF MELBOURNE","ALF","9/8/2020",0,0,10
NA,"Brevard","Florida","HUNTINGTON PLACE","NH","9/8/2020",0,5,17
NA,"Brevard","Florida","INDIAN RIVER CENTER","NH","9/8/2020",1,0,1
NA,"Brevard","Florida","ISLAND HEALTH AND REHABILITATION CENTER","NH","9/8/2020",6,1,11
NA,"Brevard","Florida","LIFE CARE CENTER OF MELBOURNE","NH","9/7/2020",2,24,32
NA,"Brevard","Florida","PALM COTTAGES OF ROCKLEDGE","ALF","9/8/2020",0,2,1
NA,"Brevard","Florida","PALMS REHABILITATION AND HEALTHCARE CENTER, THE","NH","9/8/2020",0,9,0
NA,"Brevard","Florida","SOLARIS HEALTHCARE MERRITT ISLAND","NH","9/8/2020",0,0,3
NA,"Brevard","Florida","SONATA VIERA","ALF","9/7/2020",0,2,0
NA,"Brevard","Florida","CARRIAGE HOUSE ALF","ALF","9/8/2020",0,5,5
NA,"Brevard","Florida","CEDAR CREEK","ALF","9/7/2020",4,10,2
NA,"Brevard","Florida","Century Oaks","ALF","9/8/2020",0,0,1
NA,"Brevard","Florida","WAVE CREST HEALTH AND REHABILITATION CENTER","NH                   9/8/2020 2?34?00 PM","9/8/2020",0,4,1
NA,"Brevard","Florida","WEST MELBOURNE HEALTH & REHABILITATION CENTER","NH","9/8/2020",11,2,12
NA,"Brevard","Florida","ZON BEACHSIDE LLC","ALF","9/8/2020",1,0,0
NA,"Brevard","Florida","TITUSVILLE TOWERS ALF","ALF","9/7/2020",0,1,0
NA,"Brevard","Florida","VICTORIA LANDING ALF","ALF","9/8/2020",0,9,0
NA,"Brevard","Florida","VIERA DEL MAR HEALTH AND REHABILITATION CENTER","NH","9/8/2020",20,0,1
NA,"Broward","Florida","ANN STORCK CENTER, INC.","ICF","9/8/2020",2,0,4
NA,"Broward","Florida","ACTIVE SENIOR LIVING RESIDENCE","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING HOME","NH","9/8/2020",0,37,0
NA,"Broward","Florida","ANGEL HOUSE ASSISTED LIVING, INC.","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","BARC HOUSING INC.","ICF","9/8/2020",0,0,3
NA,"Broward","Florida","ANN STORCK CENTER, INC.","ICF","9/8/2020",0,0,2
NA,"Broward","Florida","ANNIE'S RETIREMENT HOME INC","ALF","9/8/2020",3,0,0
NA,"Broward","Florida","ATLANTIS SENIOR LIVING AND MEMORY CARE OF OAKLAND PARK","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","BROWARD HOUSE, INC.","ALF","9/8/2020",1,0,3
NA,"Broward","Florida","BROWARD NURSING & REHABILITATION CENTER","NH","9/8/2020",0,15,2
NA,"Broward","Florida","BUCKINGHAM PLACE, LLC","ALF","9/8/2020",0,3,0
NA,"Broward","Florida","CHILDREN'S COMPREHENSIVE CARE CENTER, INC.","NH","9/8/2020",0,0,4
NA,"Broward","Florida","COLONIAL ASSISTED LIVING AT FORT LAUDERDALE","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","DEERFIELD BEACH HEALTH AND REHABILITATION CENTER","NH","9/8/2020",7,0,1
NA,"Broward","Florida","EMERALD PARK OF HOLLYWOOD","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","FIRST CHOICE COMFORT CARE INCORPORATED","ALF","9/8/2020",1,0,0
NA,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF HOLLYWOOD","ALF","9/8/2020",1,0,1
NA,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF PLANTATION","ALF","9/8/2020",2,1,8
NA,"Broward","Florida","BARNETT LAKEVIEW ALF INC","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","BINDA ASSISTED LIVING LLC","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","BROOKDALE DEER CREEK","ALF","9/8/2020",0,1,1
NA,"Broward","Florida","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","NH","9/8/2020",7,2,7
NA,"Broward","Florida","GLADES WEST REHABILITATION AND NURSING CENTER","NH","9/8/2020",0,1,0
NA,"Broward","Florida","GOD'S VIP SENIOR HAVEN LLC","ALF","9/8/2020",0,5,0
NA,"Broward","Florida","GOLDEN AGE SENIORS OF SUNRISE, INC.","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","GOLFCREST HEALTHCARE CENTER","NH","9/8/2020",0,0,3
NA,"Broward","Florida","GRAND COURT ALF LLC","ALF","9/8/2020",0,10,0
NA,"Broward","Florida","GRAND VILLA OF DEERFIELD BEACH","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","HAMPTON COURT ASSISTED LIVING","ALF","9/6/2020",0,0,1
NA,"Broward","Florida","HARBORCHASE OF CORAL SPRINGS","ALF","9/4/2020",0,1,1
NA,"Broward","Florida","HILLCREST HEALTH CARE AND REHABILITATION CENTER","NH","9/8/2020",37,8,14
NA,"Broward","Florida","FIVE STAR PREMIER RESIDENCES OF POMPANO BEACH","ALF","9/8/2020",1,0,0
NA,"Broward","Florida","FLAMINGO ALF","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","FORUM AT DEER CREEK","NH","9/8/2020",0,2,1
NA,"Broward","Florida","LENOX ON THE LAKE (THE)","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","LIFE CARE CENTER OF INVERRARY","NH","9/8/2020",2,11,32
NA,"Broward","Florida","LIFESTYLE LIVING #1","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","LIVEWELL AT CORAL PLAZA","ALF","9/8/2020",3,0,0
NA,"Broward","Florida","MARGATE HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,11,2
NA,"Broward","Florida","MEMORIAL MANOR","NH","9/8/2020",0,0,3
NA,"Broward","Florida","NORTH LAKE RETIREMENT HOME INC","ALF","9/8/2020",1,0,0
NA,"Broward","Florida","NSPIRE HEALTHCARE LAUDERHILL","NH","9/8/2020",12,5,1
NA,"Broward","Florida","NSPIRE HEALTHCARE PLANTATION","NH","9/8/2020",19,11,0
NA,"Broward","Florida","NSPIRE HEALTHCARE TAMARAC","NH","9/8/2020",0,0,1
NA,"Broward","Florida","OAKMONTE VILLAGE OF DAVIE","ALF","9/8/2020",0,1,1
NA,"Broward","Florida","PACIFICA SENIOR LIVING FOREST TRACE","ALF","9/8/2020",0,4,0
NA,"Broward","Florida","PALMS CARE CENTER","NH","9/8/2020",2,11,0
NA,"Broward","Florida","PARADISE VILLA RETIREMENT AT SHERIDAN #V","ALF","9/8/2020",0,3,0
NA,"Broward","Florida","PARADISE VILLA RETIREMENT VI OF COCONUT CREEK","ALF","9/8/2020",0,3,2
NA,"Broward","Florida","PARK SUMMIT AT CORAL SPRINGS","NH","9/8/2020",0,6,0
NA,"Broward","Florida","PARK SUMMIT AT CORAL SPRINGS","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","PENINSULA (THE)","ALF","9/8/2020",9,0,4
NA,"Broward","Florida","PLANTATION NURSING & REHABILITATION CENTER","NH","9/8/2020",0,1,2
NA,"Broward","Florida","POTTER'S HOUSE AT CANNON POINT INC","ALF","9/8/2020",0,0,1
NA,"Broward","Florida","PRESIDENTIAL PLACE","ALF","9/8/2020",0,13,1
NA,"Broward","Florida","RANMAR GARDENS II INC","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","RANMAR GARDENS, INC.","ALF","9/8/2020",1,0,0
NA,"Broward","Florida","REGENTS PARK OF SUNRISE","NH","9/8/2020",2,0,8
NA,"Broward","Florida","ROYAL PALM SENIOR RESIDENCE","ALF","9/8/2020",0,4,1
NA,"Broward","Florida","SAEJCA'S CASTLE LLC","ALF","9/8/2020",0,5,0
NA,"Broward","Florida","SOLARIS HEALTHCARE COCONUT CREEK","NH","9/8/2020",7,6,1
NA,"Broward","Florida","SONATA COCONUT CREEK","ALF","9/5/2020",0,0,1
NA,"Broward","Florida","ST JOSEPH RESIDENCE, INC.","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","ST. JOHN'S NURSING CENTER","NH","9/8/2020",0,4,2
NA,"Broward","Florida","SUNHAVEN VILLA INC.","ALF","9/8/2020",2,0,0
NA,"Broward","Florida","SUNRISE HEALTH AND REHABILITATION CENTER","NH","9/8/2020",18,0,8
NA,"Broward","Florida","TAMARAC REHABILITATION AND HEALTH CENTER, INC.","NH","9/8/2020",0,25,0
NA,"Broward","Florida","THE BRIDGE AT INVERRARY","ALF","9/8/2020",0,3,9
NA,"Broward","Florida","THE COLONY CLUB ALF","ALF","9/8/2020",0,4,0
NA,"Broward","Florida","THE COURT AT PALM AIRE","ALF","9/8/2020",0,2,0
NA,"Broward","Florida","THE PRESERVE AT PALM AIRE","ALF","9/8/2020",0,1,1
NA,"Broward","Florida","VICTORIA GARDENS HOME ALF","ALF","9/8/2020",0,1,0
NA,"Broward","Florida","VICTORIA'S RETIREMENT HOME ALF","ALF","9/8/2020",0,4,0
NA,"Broward","Florida","VIP CARE PAVILION, LLC","ALF","9/8/2020",0,4,0
NA,"Broward","Florida","WATERSIDE LANDING","ALF","9/8/2020",0,0,3
NA,"Broward","Florida","WEST BROWARD REHABILITATION AND HEALTHCARE","NH","9/8/2020",1,2,3
NA,"Broward","Florida","WESTCHESTER OF SUNRISE","ALF","9/8/2020",0,1,1
NA,"Broward","Florida","WILLOW BAY SENIOR RESORT","ALF","9/8/2020",0,22,0
NA,"Broward","Florida","WILTON MANORS HEALTH & REHABILITATION CENTER","NH","9/8/2020",1,1,1
NA,"Broward","Florida","HORIZON ALF","ALF","9/4/2020",1,1,0
NA,"Broward","Florida","JOHN KNOX VILLAGE OF FLORIDA, INC.","ALF","9/8/2020",2,1,2
NA,"Broward","Florida","LEISURE LIVING OF VICTORIA PARK","ALF","9/8/2020",3,0,1
NA,"Calhoun","Florida","BLOUNTSTOWN HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,12,0
NA,"Calhoun","Florida","RIVER VALLEY REHABILITATION CENTER","NH","9/8/2020",0,1,2
NA,"Charlotte","Florida","CONSULATE HEALTH CARE OF PORT CHARLOTTE","NH","9/8/2020",0,2,2
NA,"Charlotte","Florida","BROOKDALE PORT CHARLOTTE","ALF","9/8/2020",0,10,6
NA,"Charlotte","Florida","HARBOUR HEALTH CENTER","NH","9/8/2020",0,7,2
NA,"Charlotte","Florida","COURTYARD ASSISTED LIVING (THE)","ALF","9/8/2020",0,3,1
NA,"Charlotte","Florida","DOUGLAS JACOBSON STATE VETERANS NURSING HOME","NH","9/8/2020",0,15,10
NA,"Charlotte","Florida","HARBOUR HEALTH ASSISTED LIVING","ALF","9/8/2020",0,17,1
NA,"Charlotte","Florida","PARKSIDE ASSISTED LIVING AND MEMORY COTTAGE LLC","ALF","9/8/2020",0,1,1
NA,"Charlotte","Florida","PORT CHARLOTTE REHABILITATION CENTER","NH","9/8/2020",25,2,0
NA,"Charlotte","Florida","ROYAL PALM RETIREMENT CENTRE","ALF","9/8/2020",0,0,3
NA,"Charlotte","Florida","SIGNATURE HEALTHCARE OF PORT CHARLOTTE","NH","9/8/2020",19,0,1
NA,"Charlotte","Florida","SOLARIS HEALTHCARE CHARLOTTE HARBOR","NH","9/8/2020",5,3,3
NA,"Charlotte","Florida","VICK STREET MANOR","ALF","9/8/2020",1,8,9
NA,"Charlotte","Florida","VILLAGE PLACE HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,6,8
NA,"Charlotte","Florida","LEXINGTON MANOR ASSISTED LIVING","ALF","9/7/2020",0,0,3
NA,"Charlotte","Florida","LIFE CARE CENTER OF PUNTA GORDA","NH","9/8/2020",0,3,2
NA,"Charlotte","Florida","HERITAGE OAKS ASSISTED LIVING AND MEMORY CARE","ALF","9/8/2020",0,1,0
NA,"Citrus","Florida","BROOKDALE CITRUS","ALF","9/8/2020",0,8,0
NA,"Citrus","Florida","ARBOR TRAIL REHAB AND SKILLED NURSING CENTER","NH","9/8/2020",6,3,4
NA,"Citrus","Florida","AVANTE AT INVERNESS INC","NH","9/8/2020",8,10,3
NA,"Citrus","Florida","FLORIDA MENTOR","ICF","9/8/2020",0,0,6
NA,"Citrus","Florida","GROVE HEALTH AND REHABILITATION CENTER, THE","NH","9/8/2020",0,2,0
NA,"Citrus","Florida","HEALTH CENTER AT BRENTWOOD","NH","9/8/2020",1,0,1
NA,"Citrus","Florida","LIFE CARE CENTER OF CITRUS COUNTY","NH","9/7/2020",22,3,12
NA,"Citrus","Florida","SUNFLOWER SPRINGS LLC","ALF","9/8/2020",0,1,0
NA,"Citrus","Florida","CEDAR CREEK","ALF","9/8/2020",0,0,1
NA,"Citrus","Florida","CITRUS HEALTH AND REHABILITATION CENTER","NH","9/8/2020",52,27,42
NA,"Citrus","Florida","CRYSTAL RIVER HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,0,4
NA,"Clay","Florida","ALLEGRO","ALF","9/8/2020",1,0,1
NA,"Clay","Florida","LIFE CARE CENTER AT WELLS CROSSING","NH","9/8/2020",0,29,28
NA,"Clay","Florida","BROOKDALE ORANGE PARK","ALF","9/6/2020",0,11,1
NA,"Clay","Florida","CONSULATE HEALTH CARE OF ORANGE PARK","NH","9/8/2020",15,7,0
NA,"Clay","Florida","ISLE HEALTH & REHABILITATION CENTER","NH","9/8/2020",0,1,9
NA,"Clay","Florida","PruittHealth - Fleming Island","NH","9/8/2020",0,0,12
NA,"Clay","Florida","OAK VIEW REHABILITATION CENTER","NH","9/8/2020",0,1,0
NA,"Clay","Florida","PINE CREST MANOR","ALF","9/8/2020",8,4,0
NA,"Collier","Florida","ARBOR GLEN AT ARBOR TRACE","ALF","9/8/2020",0,0,2
NA,"Collier","Florida","ARDEN COURTS OF LELY PALMS","ALF","9/8/2020",0,1,2
NA,"Collier","Florida","BENTLEY CARE CENTER","NH","9/8/2020",0,11,0
NA,"Collier","Florida","BENTLEY VILLAGE","ALF","9/8/2020",0,3,1
NA,"Collier","Florida","BARRINGTON TERRACE OF NAPLES","ALF","9/8/2020",9,4,2
NA,"Collier","Florida","BEACH HOUSE NAPLES ASSISTED LIVING & MEMORY CARE","ALF","9/8/2020",0,0,1
NA,"Collier","Florida","CHATEAU AT MOORINGS PARK, THE","NH","9/8/2020",0,1,1
NA,"Collier","Florida","GARDENS AT TERRACINA HEALTH & REHABILITATION","NH","9/4/2020",0,0,7
NA,"Collier","Florida","BROOKDALE NORTH NAPLES","ALF","9/8/2020",0,0,2
NA,"Collier","Florida","CARLISLE NAPLES","ALF","9/8/2020",0,1,0
NA,"Collier","Florida","ALL SEASONS IN NAPLES LLC","ALF","9/8/2020",0,4,0
NA,"Collier","Florida","ORCHID TERRACE","ALF","9/8/2020",0,0,1
NA,"Collier","Florida","SOLARIS HEALTHCARE IMPERIAL","NH","9/8/2020",5,0,0
NA,"Collier","Florida","SOLARIS SENIOR LIVING NORTH NAPLES","NH","9/8/2020",0,0,2
NA,"Collier","Florida","TERRACINA GRAND","ALF","9/4/2020",0,2,6
NA,"Collier","Florida","THE ARLINGTON OF NAPLES, INC","ALF","9/8/2020",0,0,1
NA,"Collier","Florida","THE OPALS AT NAPLES","ALF","9/8/2020",0,3,3
NA,"Collier","Florida","VILLA AT TERRACINA GRAND","ALF","9/4/2020",0,0,4
NA,"Collier","Florida","HARBORCHASE OF NAPLES","NH","9/8/2020",0,0,1
NA,"Collier","Florida","LAKESIDE PAVILION","NH","9/8/2020",0,5,0
NA,"Collier","Florida","HARBORCHASE OF NAPLES","ALF","9/8/2020",0,0,2
NA,"Columbia","Florida","SOLARIS HEALTHCARE LAKE CITY","NH","9/8/2020",0,0,1
NA,"Columbia","Florida","AVALON HEALTHCARE CENTER","NH","9/8/2020",1,18,5
NA,"Columbia","Florida","ROBERT H JENKINS JR VETERANS DOMICILIARY HOME OF FLORIDA","ALF","9/8/2020",0,2,0
NA,"Columbia","Florida","WILLOWBROOK","ALF","9/8/2020",1,0,1
NA,"Dade","Florida","ARCH PLAZA NURSING & REHABILITATION CENTER","NH","9/8/2020",1,1,1
NA,"Dade","Florida","A SENIOR LIVING DREAM LLC","ALF","9/8/2020",0,0,1
NA,"Dade","Florida","ALF FAMILY CARE CORP","ALF","9/8/2020",0,2,0
NA,"Dade","Florida","ANGELS FOREVER, INC","ALF","9/8/2020",2,0,0
NA,"Dade","Florida","BAY OAKS HISTORIC RETIREMENT RESIDENCE INC","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","ASSISTED LIVING OF WESTCHESTER, LLC","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","AURORA 25 ALF CORP","ALF","9/8/2020",2,0,1
NA,"Dade","Florida","AVENTURA REHAB AND NURSING CENTER","NH","9/8/2020",6,3,7
NA,"Dade","Florida","CAMILA PALACE CORP","ALF","9/8/2020",1,2,0
NA,"Dade","Florida","CAMINO DE ESPERANZA INC","ALF","8/18/2020",2,1,0
NA,"Dade","Florida","CENTRAL PALACE RESIDENTIAL","ALF","9/8/2020",0,8,0
NA,"Dade","Florida","CLARIDGE HOUSE NURSING & REHABILITATION CENTER","NH","9/8/2020",0,0,3
NA,"Dade","Florida","CORAL GABLES NURSING AND REHABILITATION CENTER","NH","9/8/2020",0,0,1
NA,"Dade","Florida","CORAL REEF NURSING & REHABILITATION CENTER","NH","9/8/2020",15,0,1
NA,"Dade","Florida","CORAL TERRACE ALF INC","ALF","9/8/2020",0,0,1
NA,"Dade","Florida","CROSS GARDENS CARE CENTER","NH","9/8/2020",12,0,0
NA,"Dade","Florida","D&N HOME CARE SERVICES, INC","ALF","9/6/2020",2,2,2
NA,"Dade","Florida","EAST RIDGE RETIREMENT VILLAGE INC","NH","9/8/2020",0,1,2
NA,"Dade","Florida","BERMUDEZ SENIOR CARE INC","ALF","9/8/2020",1,0,0
NA,"Dade","Florida","BETTER LIFE CORP","ALF","9/7/2020",0,0,3
NA,"Dade","Florida","BLUE POINT HOME CARE INC","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","FLORIDEAN NURSING AND REHABILITATION CENTER, THE","NH","9/7/2020",7,9,0
NA,"Dade","Florida","FOUNTAIN MANOR HEALTH & REHABILITATION CENTER","NH","9/8/2020",0,5,2
NA,"Dade","Florida","FRANCO NURSING & REHABILITATION CENTER","NH","9/8/2020",5,14,16
NA,"Dade","Florida","FREIRE & SOTOMAYOR ALF, INC","ALF","8/3/2020",2,1,2
NA,"Dade","Florida","GARDEN WALK ASSISTED LIVING CORP","ALF","8/27/2020",0,3,0
NA,"Dade","Florida","GOLDEN GLADES NURSING AND REHABILITATION CENTER","NH","9/8/2020",6,11,6
NA,"Dade","Florida","GRACE CARE FAMILY HOME, CORP","ALF","9/7/2020",1,0,0
NA,"Dade","Florida","GREEN STREET ALF, CORP","ALF","9/8/2020",0,2,0
NA,"Dade","Florida","HAMPTON COURT NURSING AND REHABILITATION CENTER","NH","9/8/2020",1,2,2
NA,"Dade","Florida","HARMONY HEALTH CENTER","NH","9/8/2020",1,0,0
NA,"Dade","Florida","HAZEL CYPEN TOWER","ALF","9/8/2020",0,9,5
NA,"Dade","Florida","HIALEAH NURSING AND REHABILITATION CENTER","NH","9/7/2020",0,1,3
NA,"Dade","Florida","HIALEAH SHORES NURSING AND REHAB CENTER","NH","9/8/2020",5,8,1
NA,"Dade","Florida","IDALMIS RESIDENCE INC","ALF","9/8/2020",0,0,1
NA,"Dade","Florida","JACKSON MEMORIAL LONG TERM CARE CENTER","NH","9/8/2020",0,0,2
NA,"Dade","Florida","JACKSON MEMORIAL PERDUE MEDICAL CENTER","NH","9/8/2020",3,2,3
NA,"Dade","Florida","JACKSON PLAZA NURSING AND REHABILITATION CENTER","NH","9/8/2020",1,21,1
NA,"Dade","Florida","JANUA COELI INC","ALF","9/8/2020",1,0,1
NA,"Dade","Florida","KENDALL LAKES HEALTH AND REHABILITATION CENTER","NH","9/8/2020",0,2,5
NA,"Dade","Florida","KRYSTAL BAY NURSING AND REHABILITATION","NH","9/8/2020",0,0,16
NA,"Dade","Florida","LADY REGLA CARE INC","ALF","9/8/2020",1,1,0
NA,"Dade","Florida","LAKEVIEW SENIOR CARE INC","ALF","7/23/2020",4,0,0
NA,"Dade","Florida","LAS MERCEDES BOARDING HOME","ALF","9/8/2020",1,4,0
NA,"Dade","Florida","LIVEWELL AT GRAND COURT LAKES","ALF","9/8/2020",0,0,1
NA,"Dade","Florida","LLINA'S ALF LLC","ALF","9/8/2020",1,1,1
NA,"Dade","Florida","MACTOWN, INC","ICF","9/8/2020",0,1,0
NA,"Dade","Florida","MARIA ADULT HOME CARE II, INC","ALF","7/28/2020",0,4,0
NA,"Dade","Florida","MARIA'S PALACE CORP","ALF","9/8/2020",2,6,2
NA,"Dade","Florida","MAUD'S PLACE","ALF","9/7/2020",0,1,0
NA,"Dade","Florida","MEADOW WOOD HOMES LLC","ALF","9/8/2020",0,1,1
NA,"Dade","Florida","MI CASA DORADA ASSISTED LIVING FACILITY CORP","ALF","9/8/2020",0,2,0
NA,"Dade","Florida","MI CASITA ALF","ALF","9/8/2020",0,0,2
NA,"Dade","Florida","MIAMI ASTURIAS HOME INC","ALF","9/8/2020",0,0,1
NA,"Dade","Florida","MIAMI CARE CENTER INC","NH","9/8/2020",82,60,26
NA,"Dade","Florida","MIAMI CEREBRAL PALSY RESIDENTIAL SERVICES, INC.","ICF","9/8/2020",0,0,1
NA,"Dade","Florida","MIAMI CEREBRAL PALSY RESIDENTIAL SERVICES, INC.","ICF","9/8/2020",0,0,2
NA,"Dade","Florida","MIAMI CEREBRAL PALSY RESIDENTIAL SERVICES, INC.","ICF","9/8/2020",0,1,2
NA,"Dade","Florida","MIAMI CEREBRAL PALSY RESIDENTIAL SERVICES, INC.","ICF","9/8/2020",0,0,1
NA,"Dade","Florida","MIAMI JEWISH HEALTH SYSTEMS, INC.","NH","9/8/2020",5,0,5
NA,"Dade","Florida","MOON RIVER ALF LLC","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","MY NEW LIFE ALF LLC","ALF","9/8/2020",3,0,0
NA,"Dade","Florida","NEW AGE ADULTCARE INC","ALF","9/8/2020",0,1,0
NA,"Dade","Florida","NEW HOPE A.L.F., INC.","ALF","9/7/2020",1,1,0
NA,"Dade","Florida","NEW WORLD ACLF","ALF","9/8/2020",0,4,0
NA,"Dade","Florida","NORTH BEACH REHABILITATION CENTER","NH","9/8/2020",0,0,2
NA,"Dade","Florida","NORTH DADE NURSING AND REHABILITATION CENTER","NH","9/8/2020",0,0,3
NA,"Dade","Florida","NSPIRE HEALTHCARE KENDALL","NH","9/8/2020",0,55,7
NA,"Dade","Florida","NSPIRE HEALTHCARE KENDALL","ALF","9/8/2020",0,7,1
NA,"Dade","Florida","NSPIRE HEALTHCARE MIAMI LAKES","NH","9/1/2020",73,24,0
NA,"Dade","Florida","OASIS HOME FOR THE ELDERLY","ALF","9/8/2020",0,3,2
NA,"Dade","Florida","OUR LADY OF CHARITY ACLF, INC","ALF","9/8/2020",2,1,1
NA,"Dade","Florida","PALACE AT HOMESTEAD, LLC","ALF","9/8/2020",1,0,2
