"County","Facility","Provider Type","Update","Positive Residents","Positive Residents Transferred","Positive Staff"
"BROWARD","FIVE STAR PREMIER RESIDENCES OF PLANTATION","ALF","6/8/2020 13:15","0","1","1"
"BROWARD","FLAMINGO ALF","ALF","6/8/2020 14:07","0","1","0"
"BROWARD","FORUM AT DEER CREEK","NH","6/8/2020 12:58","0","2","3"
"BROWARD","FT LAUDERDALE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 14:13","2","0","7"
"BROWARD","GLADES WEST REHABILITATION AND NURSING CENTER","NH","6/8/2020 13:35","0","1","0"
"BROWARD","GOLFCREST HEALTHCARE CENTER","NH","6/8/2020 15:25","0","17","10"
"BROWARD","GOOD HOPE MANOR","ALF","6/8/2020 14:55","0","6","0"
"BROWARD","HARBORCHASE OF TAMARAC","ALF","6/8/2020 12:26","0","1","7"
"BROWARD","HILLCREST HEALTH CARE AND REHABILITATION CENTER","NH","6/8/2020 11:49","1","5","5"
"BROWARD","JOHN KNOX VILLAGE OF FLORIDA, INC.","ALF","6/8/2020 13:36","0","0","1"
"BROWARD","JOHN KNOX VILLAGE OF POMPANO BEACH","NH","6/8/2020 16:01","0","0","2"
"BROWARD","LAKEVIEW RETIREMENT RESIDENCE, INC.","ALF","6/8/2020 13:36","0","0","1"
"BROWARD","LIFE CARE CENTER OF INVERRARY","NH","6/8/2020 14:02","0","2","6"
"BROWARD","LINCOLN MANOR","ALF","6/8/2020 13:32","0","0","1"
"BROWARD","LIVEWELL AT CORAL PLAZA","ALF","6/8/2020 13:18","2","0","0"
"BROWARD","MAGGYS HOME CARE III INC","ALF","6/8/2020 11:12","3","1","0"
"BROWARD","MANOR PINES CONVALESCENT CENTER","NH","6/8/2020 12:35","5","3","3"
"BROWARD","MARGATE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:05","13","10","9"
"BROWARD","MEMORIAL MANOR","NH","6/8/2020 13:43","0","7","1"
"BROWARD","NORTH LAKE RETIREMENT HOME INC","ALF","6/8/2020 13:34","0","0","1"
"BROWARD","NSPIRE HEALTHCARE LAUDERHILL","NH","6/8/2020 2:44","56","12","17"
"BROWARD","NSPIRE HEALTHCARE PLANTATION","NH","6/8/2020 14:23","20","8","4"
"BROWARD","NSPIRE HEALTHCARE TAMARAC","NH","6/8/2020 13:43","0","2","4"
"BROWARD","OAKMONTE VILLAGE OF DAVIE","ALF","6/8/2020 13:51","0","2","1"
"BROWARD","PACIFICA SENIOR LIVING FOREST TRACE","ALF","6/8/2020 13:36","4","1","6"
"BROWARD","PACIFICA SENIOR LIVING SUNRISE","ALF","6/8/2020 12:45","0","0","1"
"BROWARD","PALMS CARE CENTER","NH","6/8/2020 13:44","13","29","14"
"BROWARD","PARK SUMMIT AT CORAL SPRINGS","NH","6/5/2020 18:13","0","4","3"
"BROWARD","PARK SUMMIT AT CORAL SPRINGS","ALF","6/7/2020 14:51","0","1","1"
"BROWARD","PLANTATION NURSING & REHABILITATION CENTER","NH","6/8/2020 13:33","0","1","1"
"BROWARD","POMPANO HEALTH AND REHABILITATION CENTER","NH","6/8/2020 15:15","3","11","3"
"BROWARD","PRESIDENTIAL PLACE","ALF","6/8/2020 17:43","0","6","4"
"BROWARD","REGENTS PARK OF SUNRISE","NH","6/8/2020 20:13","0","2","1"
"BROWARD","ROYAL PALM SENIOR RESIDENCE","ALF","6/8/2020 14:09","1","0","0"
"BROWARD","SAEJCA'S CASTLE LLC","ALF","6/8/2020 11:38","0","5","0"
"BROWARD","SEAVIEW NURSING AND REHABILITATION CENTER","NH","6/8/2020 13:51","0","0","1"
"BROWARD","SOLARIS HEALTHCARE COCONUT CREEK","NH","6/8/2020 13:23","0","1","5"
"BROWARD","SPRINGTREE REHABILITATION & HEALTH CARE CENTER","NH","6/8/2020 15:07","0","0","4"
"BROWARD","ST JOSEPH RESIDENCE, INC.","ALF","6/8/2020 13:26","0","0","1"
"BROWARD","ST. JOHN'S NURSING CENTER","NH","6/8/2020 14:23","4","3","2"
"BROWARD","SUN COAST RESIDENTIAL CARE, INC.","ALF","6/8/2020 12:32","0","0","1"
"BROWARD","SUNRISE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:45","0","0","4"
"BROWARD","TAMARAC REHABILITATION AND HEALTH CENTER, INC.","NH","6/8/2020 13:39","2","2","5"
"BROWARD","THE COLONY CLUB ALF","ALF","6/8/2020 13:34","0","1","0"
"BROWARD","THE COURT AT PALM AIRE","ALF","6/8/2020 11:30","0","1","0"
"BROWARD","THE FORUM AT DEER CREEK","ALF","6/8/2020 13:49","0","0","3"
"BROWARD","THE MERIDIAN AT WATERWAYS","ALF","6/8/2020 13:26","0","0","2"
"BROWARD","THE PRESERVE AT PALM AIRE","ALF","6/8/2020 11:23","0","1","3"
"BROWARD","THE SHERIDAN AT COOPER CITY","ALF","6/8/2020 19:52","1","1","2"
"BROWARD","VILLA RIO VISTA","ALF","6/8/2020 12:20","0","1","0"
"BROWARD","VIZCAYA BY THE SEA","ALF","6/8/2020 16:02","0","0","1"
"BROWARD","WEST BROWARD REHABILITATION AND HEALTHCARE","NH","6/7/2020 13:32","0","0","8"
"BROWARD","WESTCHESTER OF SUNRISE","ALF","6/8/2020 13:17","1","0","2"
"BROWARD","WILTON MANORS HEALTH & REHABILITATION CENTER","NH","6/8/2020 13:24","7","0","7"
"CALHOUN","BLOUNTSTOWN HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:19","35","7","16"
"CALHOUN","RIVER VALLEY REHABILITATION CENTER","NH","6/8/2020 15:13","0","1","2"
"CHARLOTTE","DOUGLAS JACOBSON STATE VETERANS NURSING HOME","NH","6/7/2020 12:15","0","0","2"
"CHARLOTTE","HARBOUR HEALTH ASSISTED LIVING","ALF","6/8/2020 13:30","0","16","0"
"CHARLOTTE","HARBOUR HEALTH CENTER","NH","6/8/2020 14:22","2","7","6"
"CHARLOTTE","LIFE CARE CENTER OF PUNTA GORDA","NH","6/8/2020 13:35","2","3","2"
"CHARLOTTE","PORT CHARLOTTE REHABILITATION CENTER","NH","6/8/2020 11:54","21","1","0"
"CHARLOTTE","ROYAL PALM RETIREMENT CENTRE","ALF","6/8/2020 15:50","0","0","1"
"CHARLOTTE","SIGNATURE HEALTHCARE OF PORT CHARLOTTE","NH","6/8/2020 12:42","3","2","11"
"CHARLOTTE","SOLARIS HEALTHCARE CHARLOTTE HARBOR","NH","6/8/2020 12:57","15","3","15"
"CHARLOTTE","VICK STREET MANOR","ALF","6/8/2020 14:24","2","4","8"
"CHARLOTTE","VILLAGE PLACE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 14:03","0","1","0"
"CHARLOTTE","VILLAGE PLACE RETIREMENT","ALF","6/8/2020 12:29","2","7","2"
"CITRUS","ARBOR TRAIL REHAB AND SKILLED NURSING CENTER","NH","6/8/2020 16:37","3","0","0"
"CITRUS","SUNFLOWER SPRINGS LLC","ALF","6/8/2020 20:34","0","1","0"
"CITRUS","SUPERIOR RESIDENCES OF LECANTO","ALF","6/8/2020 13:51","1","1","0"
"CLAY","DIAMOND ALF, LLC","ALF","6/8/2020 13:57","0","3","0"
"CLAY","GOVERNORS CREEK HEALTH AND REHABILITATION","NH","6/8/2020 14:49","0","28","7"
"CLAY","HEARTLAND HEALTH CARE CENTER - ORANGE PARK","NH","6/8/2020 13:51","8","0","2"
"CLAY","ISLE HEALTH & REHABILITATION CENTER","NH","6/8/2020 13:13","0","0","1"
"CLAY","LIFE CARE CENTER AT WELLS CROSSING","NH","6/8/2020 12:30","0","2","1"
"CLAY","LIFE CARE CENTER OF ORANGE PARK","NH","6/8/2020 13:04","0","0","1"
"CLAY","SIGNATURE HEALTHCARE OF ORANGE PARK","NH","6/8/2020 13:03","0","0","2"
"COLLIER","ALL SEASONS IN NAPLES LLC","ALF","6/8/2020 18:13","0","5","9"
"COLLIER","ARDEN COURTS OF LELY PALMS","ALF","6/8/2020 17:07","0","0","1"
"COLLIER","BEACH HOUSE NAPLES ASSISTED LIVING & MEMORY CARE","ALF","6/8/2020 10:44","0","0","1"
"COLLIER","BENTLEY CARE CENTER","NH","6/8/2020 13:23","0","6","14"
"COLLIER","BENTLEY VILLAGE","ALF","6/8/2020 13:21","0","0","6"
"COLLIER","CARLISLE NAPLES","ALF","6/8/2020 14:27","1","0","0"
"COLLIER","HARBORCHASE OF NAPLES","NH","6/8/2020 14:44","0","0","1"
"COLLIER","HERITAGE HEALTHCARE AND REHABILITATION CENTER","NH","6/8/2020 16:49","15","0","6"
"COLLIER","KEYSTONE PLACE AT NAPLES PRESERVE","ALF","6/8/2020 11:25","0","1","1"
"COLLIER","KIVA AT CANTERBURY, LLC","ALF","6/8/2020 14:33","0","0","1"
"COLLIER","LAKESIDE PAVILION","NH","6/8/2020 12:50","0","1","3"
"COLLIER","MANORCARE AT LELY PALMS","NH","6/8/2020 13:25","3","7","5"
"COLLIER","MANORCARE NURSING AND REHABILITATION CENTER","NH","6/8/2020 20:26","9","0","18"
"COLLIER","ORCHID TERRACE","ALF","6/8/2020 14:01","0","0","2"
"COLLIER","SOLARIS HEALTHCARE IMPERIAL","NH","6/8/2020 12:48","0","0","2"
"COLLIER","SOLARIS SENIOR LIVING NORTH NAPLES","NH","6/8/2020 12:50","0","0","3"
"COLLIER","TERRACINA GRAND","ALF","6/8/2020 11:40","1","1","3"
"COLLIER","THE ARLINGTON OF NAPLES, INC","ALF","6/8/2020 14:00","0","0","2"
"COLUMBIA","CANOPY AT HARPER LAKE (THE)","ALF","6/8/2020 13:01","0","0","1"
"COLUMBIA","ROBERT H JENKINS JR VETERANS DOMICILIARY HOME OF FLORIDA","ALF","6/5/2020 14:09","0","0","2"
"COLUMBIA","SOLARIS HEALTHCARE LAKE CITY","NH","6/8/2020 13:50","3","0","3"
"DESOTO","ARCADIA OAKS ASSISTED LIVING","ALF","6/8/2020 15:00","0","1","0"
"DESOTO","DESOTO HEALTH AND REHAB","NH","6/6/2020 13:46","0","0","1"
"DIXIE","CROSS CITY NURSING AND REHABILITATION CENTER","NH","6/7/2020 14:07","0","0","3"
"DUVAL","BARTRAM CROSSING","NH","6/8/2020 12:51","0","1","13"
"DUVAL","BARTRAM LAKES ASSISTED LIVING","ALF","6/8/2020 12:52","0","2","1"
"DUVAL","BROOKDALE SOUTHSIDE","ALF","6/8/2020 19:19","1","0","0"
"DUVAL","CAMELLIA AT DEERWOOD","ALF","6/8/2020 13:59","0","1","12"
"DUVAL","CATHEDRAL GERONTOLOGY CENTER, INC","NH","6/8/2020 13:58","0","1","0"
"DUVAL","DOLPHIN POINTE HEALTH CARE CENTER","NH","6/8/2020 14:58","49","19","0"
"DUVAL","FANNIE E. TAYLOR HOME FOR THE AGED-TAYLOR MANOR, INC.","ALF","6/7/2020 15:12","0","0","1"
"DUVAL","FIRST COAST HEALTH AND REHABILITATION CENTER","NH","6/8/2020 12:29","0","0","1"
"DUVAL","FLEET LANDING","NH","6/8/2020 13:51","1","0","3"
"DUVAL","FLORIDA MENTOR","ICF","6/8/2020 11:45","8","4","9"
"DUVAL","GOLDEN RETREAT SHELTER CARE CENTER, INC.","ALF","6/8/2020 14:07","0","0","1"
"DUVAL","HARTS HARBOR HEALTH CARE CENTER","NH","6/8/2020 14:41","0","5","4"
"DUVAL","HEALTHCARE CENTER OF JACKSONVILLE","NH","6/8/2020 13:50","4","0","1"
"DUVAL","JACKSONVILLE NURSING AND REHAB CENTER","NH","6/8/2020 16:57","6","1","4"
"DUVAL","LANIER REHABILITATION CENTER","NH","6/8/2020 13:00","0","2","4"
"DUVAL","RIVERWOOD CENTER","NH","6/8/2020 12:10","0","0","2"
"DUVAL","SAN JOSE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 12:55","0","0","1"
"DUVAL","SIGNATURE HEALTHCARE OF JACKSONVILLE","NH","6/8/2020 14:08","37","34","36"
"DUVAL","ST CATHERINE LABOURE MANOR INC","NH","6/8/2020 13:35","1","0","0"
"DUVAL","UNIVERSITY CROSSING","NH","6/8/2020 13:30","0","1","6"
"DUVAL","WOODLAND GROVE HEALTH & REHABILITATION CENTER","NH","6/8/2020 14:13","1","0","2"
"ESCAMBIA","ASBURY PLACE","ALF","6/8/2020 15:16","0","0","1"
"ESCAMBIA","BAYSIDE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:48","14","0","1"
"ESCAMBIA","DE LUNA HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:52","5","0","0"
"ESCAMBIA","HAVEN OF OUR LADY OF PEACE","NH","6/8/2020 14:30","0","0","1"
"ESCAMBIA","HOMESTEAD VILLAGE RETIREMENT COMMUNITY","ALF","6/8/2020 13:01","0","1","0"
"ESCAMBIA","NEW HORIZONS OF NORTHWEST FLORIDA, INC.","ICF","6/8/2020 19:35","1","0","3"
"ESCAMBIA","OLIVE BRANCH HEALTH AND REHABILITATION CENTER","NH","6/8/2020 11:26","0","1","0"
"ESCAMBIA","PENSACOLA DEVELOPMENTAL CENTER","ICF","6/8/2020 13:49","0","0","4"
"ESCAMBIA","ROSEWOOD HEALTHCARE AND REHABILITATION CENTER","NH","6/8/2020 13:49","1","0","0"
"ESCAMBIA","SOUTHERN OAKS CARE CENTER","NH","6/8/2020 13:21","2","4","2"
"ESCAMBIA","SUMMER VISTA ASSISTED LIVING COMMUNITY","ALF","6/8/2020 13:51","0","1","0"
"ESCAMBIA","VERANDA OF PENSACOLA, INC","ALF","6/8/2020 14:18","0","0","1"
"ESCAMBIA","WILLOWBROOKE COURT AT AZALEA TRACE","NH","6/8/2020 10:50","0","0","1"
"FLAGLER","GRAND OAKS HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:41","0","0","1"
"FLAGLER","PRINCETON VILLAGE OF PALM COAST","ALF","6/8/2020 13:16","0","0","1"
"GADSDEN","MAGNOLIA HOUSE","ALF","6/8/2020 14:33","1","0","0"
"GADSDEN","RIVERCHASE HEALTH AND REHABILITATION CENTER","NH","6/8/2020 13:44","11","12","4"
"HARDEE","SANDIA","ALF","6/8/2020 12:42","0","1","0"
"HENDRY","CLEWISTON NURSING & REHABILITATION","NH","6/8/2020 13:28","18","21","24"
"HENDRY","OAKBROOK HEALTH AND REHABILITATION CENTER","NH","6/8/2020 12:13","5","0","1"
"HERNANDO","EVERGREEN WOODS","NH","6/8/2020 13:12","0","0","1"
"HERNANDO","RESIDENCE AT TIMBER PINES (THE)","ALF","6/8/2020 13:52","0","1","1"
"HIGHLANDS","SIM LODGE","ALF","6/8/2020 13:26","0","0","1"
"HILLSBOROUGH","ALDEA GREEN","ALF","6/8/2020 13:33","1","0","0"
"HILLSBOROUGH","ALLEGRO","ALF","6/8/2020 12:38","0","0","12"
"HILLSBOROUGH","ANGELS SENIOR LIVING AT NEW TAMPA, LLC","ALF","6/8/2020 12:57","0","8","0"
"HILLSBOROUGH","ANGELS SENIOR LIVING AT SOUTH TAMPA","ALF","6/8/2020 12:19","0","1","0"
"HILLSBOROUGH","ASTON GARDENS AT THE COURTYARDS (THE INN)","ALF","6/8/2020 13:33","0","0","1"
"HILLSBOROUGH","BEST CARE SENIOR LIVING AT SAINT JOSEPH","ALF","6/8/2020 18:43","3","2","3"
"HILLSBOROUGH","BRANDON HEALTH AND REHABILITATION CENTER","NH","6/8/2020 14:49","0","0","1"
"HILLSBOROUGH","BRIGHTON GARDENS OF TAMPA","ALF","6/8/2020 15:41","0","0","1"
"HILLSBOROUGH","BRISTOL AT TAMPA REHABILITATION AND NURSING CENTER LLC, THE","NH","6/8/2020 16:10","0","70","38"
"HILLSBOROUGH","BROOKDALE BAYSHORE","ALF","6/8/2020 13:03","0","0","1"
"HILLSBOROUGH","CENTRAL TAMPA ASSISTED LIVING","ALF","6/8/2020 14:53","26","26","5"
"HILLSBOROUGH","COMMUNITY CONVALESCENT CENTER","NH","6/8/2020 13:35","6","86","24"
"HILLSBOROUGH","CONCORDIA VILLAGE OF TAMPA","NH","6/8/2020 16:32","0","0","2"
"HILLSBOROUGH","CONSULATE HEALTH CARE OF BRANDON","NH","6/8/2020 15:19","13","8","16"
"HILLSBOROUGH","COVENTRY ASSISTED LIVING","ALF","6/8/2020 11:12","0","0","1"
"HILLSBOROUGH","DISCOVERY VILLAGE AT TAMPA PALMS","ALF","6/8/2020 19:19","0","0","1"
"HILLSBOROUGH","EXCEL CARE CENTER","NH","6/8/2020 13:22","0","1","1"
"HILLSBOROUGH","FREEDOM PLAZA ASSISTED LIVING AND MEMORY CARE","ALF","6/8/2020 14:07","0","1","1"
"HILLSBOROUGH","GANDY CROSSING CARE CENTER","NH","6/8/2020 13:13","1","0","1"
"HILLSBOROUGH","HANNA OAKS CENTER for INDEPENDENT and ASSISTED LIVING","ALF","6/8/2020 12:46","0","15","5"
"HILLSBOROUGH","INN ASTON AT GARDENS TAMPA BAY (THE)","ALF","6/8/2020 13:38","0","0","1"
"HILLSBOROUGH","INSPIRED LIVING AT TAMPA","ALF","6/8/2020 12:41","0","2","0"
"HILLSBOROUGH","LIFE CONCEPTS, INC","ICF","6/8/2020 13:04","0","0","3"
"HILLSBOROUGH","MEMORY LANE COTTAGE AT TAMPA PALMS, LLC","ALF","6/8/2020 12:28","0","0","1"
"HILLSBOROUGH","NORTHDALE REHABILITATION CENTER","NH","6/8/2020 14:18","0","0","2"
"HILLSBOROUGH","PALM GARDEN OF TAMPA","NH","6/8/2020 11:55","0","2","1"
"HILLSBOROUGH","PLAZA WEST HEALTH CENTER","NH","6/8/2020 13:11","0","0","2"
"HILLSBOROUGH","PROMISE POINTE AT TAMPA OAKS","ALF","6/8/2020 12:16","0","3","0"
"HILLSBOROUGH","REHABILITATION AND HEALTHCARE CENTER OF TAMPA","NH","6/7/2020 11:58","0","4","0"
"HILLSBOROUGH","ROCKY CREEK VILLAGE","ALF","6/8/2020 9:33","3","0","1"
"HILLSBOROUGH","SOLARIS HEALTHCARE PLANT CITY","NH","6/8/2020 13:34","0","1","2"
"HILLSBOROUGH","SUN CITY SENIOR LIVING","ALF","6/8/2020 11:36","1","0","0"
"HILLSBOROUGH","SUN TERRACE HEALTH CARE CENTER","NH","6/8/2020 14:33","0","1","1"
"HILLSBOROUGH","SUN TOWERS RETIREMENT COMMUNITY","ALF","6/8/2020 13:51","0","1","1"
"HILLSBOROUGH","THE COLONNADE AT NORTHDALE","ALF","6/5/2020 22:25","0","11","2"
"HILLSBOROUGH","THE INN AT UNIVERSITY VILLAGE","ALF","6/8/2020 16:32","29","4","0"
"HILLSBOROUGH","WHISPERING OAKS","NH","6/8/2020 13:28","0","4","7"
"INDIAN RIVER","GRACE REHABILITATION CENTER OF VERO BEACH","NH","6/8/2020 14:14","0","1","0"
"INDIAN RIVER","GREEN GABLES ASSISTED LIVING","ALF","6/8/2020 13:48","0","1","1"
"INDIAN RIVER","HARBORCHASE OF VERO BEACH","ALF","6/8/2020 14:14","3","6","2"
"INDIAN RIVER","ISLES OF VERO BEACH","ALF","6/8/2020 13:05","1","0","0"
"INDIAN RIVER","RENAISSANCE SENIOR LIVING","ALF","6/8/2020 15:17","0","0","1"
"INDIAN RIVER","ROSEWOOD MANOR OF VERO BEACH, LLC","ALF","6/8/2020 13:36","2","0","0"
"INDIAN RIVER","SOLARIS SENIOR LIVING VERO BEACH","ALF","6/8/2020 11:14","0","0","2"
"INDIAN RIVER","SONATA VERO BEACH","ALF","6/8/2020 13:31","0","0","4"
"JACKSON","SIGNATURE HEALTHCARE AT THE COURTYARD","NH","6/8/2020 13:23","0","0","2"
"JACKSON","SUNLAND CENTER MARIANNA-FAC I","ICF","6/8/2020 12:35","0","0","2"
"JACKSON","SUNLAND CENTER MARIANNA-FACILITY II","ICF","6/8/2020 13:50","0","0","2"
"JACKSON","SUNLAND CENTER MARIANNA-FACILITY III","ICF","6/8/2020 12:38","14","0","11"
"JACKSON","SUNLAND MARIANNA FACILITY V","ICF","6/8/2020 13:04","0","0","2"
"JEFFERSON","CROSS LANDINGS HEALTH AND REHABILITATION CENTER","NH","6/8/2020 12:26","0","13","1"
"LAKE","AdVENTHEALTH CARE CENTER WATERMAN","NH","6/8/2020 12:44","0","0","1"
"LAKE","AVANTE AT MT DORA, INC.","NH","6/8/2020 13:43","0","0","1"
"LAKE","NEULIFE NEUROLOGICAL SERVICES, LLC","ALF","6/8/2020 14:04","0","0","2"
"LAKE","THE COVE AT TAVARES VILLAGE","ALF","6/8/2020 11:07","0","1","0"
"LAKE","VILLAGES REHABILITATION AND NURSING CENTER, THE","NH","6/8/2020 12:37","4","3","0"
"LAKE","VISTA LAKE","ALF","6/8/2020 13:15","1","1","0"
"LEE","AMERICAN HOUSE BONITA SPRINGS","ALF","6/8/2020 11:30","0","0","1"
"LEE","AMERICAN HOUSE FORT MYERS","ALF","6/8/2020 13:29","0","0","1"
"LEE","ARBOR AT SHELL POINT (THE)","ALF","6/8/2020 12:09","0","1","0"
"LEE","ATRIUM AT LIBERTY PARK","ALF","6/8/2020 13:02","0","0","1"
"LEE","BARKLEY PLACE","ALF","6/8/2020 11:26","0","1","0"
"LEE","BROOKDALE BONITA SPRINGS","ALF","6/8/2020 20:28","0","1","0"
"LEE","BROOKDALE FORT MYERS THE COLONY","ALF","6/8/2020 13:02","0","11","0"
"LEE","CALUSA HARBOUR","NH","6/8/2020 13:25","2","0","2"
"LEE","CAPE WEST LLC","ALF","6/8/2020 14:27","0","5","3"
"LEE","CONSULATE HEALTH CARE OF NORTH FORT MYERS","NH","6/8/2020 13:04","0","0","5"
"LEE","CORAL TRACE HEALTH CARE","NH","6/8/2020 13:45","0","0","1"
"LEE","CYPRESS COVE AT HEALTHPARK FLORIDA","ALF","6/8/2020 11:59","0","0","3"
"LEE","CYPRESS POINT","ALF","6/8/2020 13:49","0","8","5"
"LEE","DISCOVERY VILLAGE AT THE FORUM","ALF","6/8/2020 13:22","0","1","3"
"LEE","EVANS HEALTH CARE","NH","6/8/2020 14:15","0","0","2"
"LEE","FORT MYERS REHABILITATION AND NURSING CENTER","NH","6/8/2020 15:32","15","15","4"
"LEE","GLADWELL FORT MYERS","ALF","6/7/2020 15:12","3","6","7"
"LEE","GULF COAST VILLAGE","NH","6/8/2020 13:39","0","0","1"
"LEE","HEALTHPARK CARE CENTER","NH","6/8/2020 12:31","0","11","10"
"LEE","HEARTLAND HEALTH CARE CENTER-FT MYERS","NH","6/8/2020 12:42","19","8","16"
"LEE","HERITAGE PARK REHABILITATION AND HEALTHCARE","NH","6/8/2020 15:18","0","2","5"
"LEE","LEHIGH ACRES HEALTH AND REHABILITATION CENTER","NH","6/8/2020 16:12","6","6","10"
"LEE","LIFE CARE CENTER OF ESTERO","NH","6/8/2020 14:10","0","7","1"
"LEE","LODGE AT CYPRESS COVE, THE","NH","6/8/2020 13:58","0","1","3"
"LEE","MANORCARE HEALTH SERVICES","NH","6/8/2020 12:54","0","2","4"
"LEE","PACIFICA SENIOR LIVING FORT MYERS","ALF","6/8/2020 19:25","3","8","3"
"LEE","PAGE REHABILITATION AND HEALTHCARE CENTER","NH","6/8/2020 13:54","40","36","52"
"LEE","PALMS OF FORT MYERS","ALF","6/8/2020 13:04","0","1","0"
"LEE","PALMVIEW AT GULF COAST VILLAGE","ALF","6/8/2020 12:29","0","0","1"
"LEE","PONDELLA RESIDENTIAL CARE LLC","ALF","6/8/2020 13:57","0","0","2"
"LEE","REHAB & HEALTHCARE CENTER OF CAPE CORAL","NH","6/8/2020 10:31","0","1","4"
"LEE","RENAISSANCE AT THE TERRACES","ALF","6/8/2020 12:29","0","0","1"
"LEE","SHELL POINT NURSING PAVILION","NH","6/8/2020 13:50","0","0","2"
"LEE","SIGNATURE HEALTHCARE AT COLLEGE PARK","NH","6/8/2020 13:43","0","1","5"
"LEE","SPRINGWOOD COURT","ALF","6/8/2020 20:32","0","4","0"
"LEE","SUNRISE COMMUNITY, INC.","ICF","6/8/2020 14:03","1","0","1"
"LEE","THE ROSE GARDEN OF FT MYERS","ALF","6/8/2020 7:44","2","0","0"
"LEE","THRIVE AT BEACHWALK","ALF","6/8/2020 13:58","1","2","3"
"LEE","WINDSOR AT CAPE CORAL (THE)","ALF","6/8/2020 13:28","1","3","2"
"LEE","WINKLER COURT","NH","6/8/2020 13:36","0","2","2"
"LEON","ALLEGRO","ALF","6/8/2020 11:24","0","0","2"
"LEON","CANTERFIELD OF TALLAHASSEE, LLC","ALF","6/8/2020 15:12","0","0","1"
"LEON","ELMCROFT OF TALLAHASSEE","ALF","6/8/2020 13:18","0","0","2"
"LEON","HERITAGE HEALTHCARE CENTER AT TALLAHASSEE","NH","6/8/2020 12:04","0","0","1"
"LEON","MIRACLE HILL NURSING AND REHABILITATION CENTER, INC","NH","6/5/2020 18:48","0","0","2"
"LEON","SEVEN HILLS HEALTH & REHABILITATION CENTER","NH","6/8/2020 14:10","0","1","0"
"LEON","SUNRISE COMMUNITY, INC.","ICF","6/8/2020 2:53","0","2","1"
